TimeStamp,CPU_Freq,Battery_temp,GPU_Load,Seconds_Run,Temp_Smooth,Temp_Velocity,Stress_Score
1900-01-01 16:04:55,2918.4,33.0,23.69,24.0,33.0,0.0,1.2097
1900-01-01 16:04:57,960.0,33.0,5.24,26.0,33.0,0.0,0.3724
1900-01-01 16:04:59,633.6,33.0,20.33,28.0,33.0,0.0,0.4145
1900-01-01 16:05:02,633.6,33.0,12.92,31.0,33.0,0.0,0.34040000000000004
1900-01-01 16:05:04,2457.6,33.0,25.73,33.0,33.0,0.0,1.0765
1900-01-01 16:05:06,2918.4,33.0,14.36,35.0,33.0,0.0,1.1164
1900-01-01 16:05:08,2150.4,33.0,13.52,37.0,33.0,0.0,0.852
1900-01-01 16:05:11,1094.4,33.0,14.41,40.0,33.0,0.0,0.5089
1900-01-01 16:05:13,1900.8,33.0,6.81,42.0,33.0,0.0,0.7017
1900-01-01 16:05:15,2918.4,33.0,14.76,44.0,33.0,0.0,1.1204
1900-01-01 16:05:18,2918.4,34.1,12.77,47.0,33.11,0.10999999999999943,1.1005
1900-01-01 16:05:20,2918.4,34.1,11.76,49.0,33.22,0.10999999999999943,1.0904
1900-01-01 16:05:22,633.6,34.1,6.44,51.0,33.33,0.10999999999999943,0.2756
1900-01-01 16:05:25,1459.2,34.1,6.44,54.0,33.44,0.10999999999999943,0.5508
1900-01-01 16:05:27,1459.2,34.3,0.0,56.0,33.57,0.13000000000000256,0.4864
1900-01-01 16:05:29,960.0,34.3,0.0,58.0,33.7,0.13000000000000256,0.32
1900-01-01 16:05:32,2918.4,34.3,1.63,61.0,33.83,0.12999999999999545,0.9891
1900-01-01 16:05:34,2918.4,34.3,1.69,63.0,33.96,0.13000000000000256,0.9897
1900-01-01 16:05:36,1900.8,34.3,6.61,65.0,34.089999999999996,0.12999999999999545,0.6997
1900-01-01 16:05:39,2304.0,34.4,10.6,68.0,34.230000000000004,0.14000000000000767,0.874
1900-01-01 16:05:41,2918.4,34.4,16.61,70.0,34.26,0.02999999999999403,1.1389
1900-01-01 16:05:43,2918.4,34.4,18.38,72.0,34.29,0.030000000000001137,1.1566
1900-01-01 16:05:46,2918.4,34.4,12.7,75.0,34.32,0.030000000000001137,1.0998
1900-01-01 16:05:48,2918.4,34.4,12.9,77.0,34.35,0.030000000000001137,1.1018
1900-01-01 16:05:50,1651.2,34.4,16.75,79.0,34.36,0.00999999999999801,0.7179
1900-01-01 16:05:53,2918.4,34.4,16.2,82.0,34.37,0.00999999999999801,1.1348
1900-01-01 16:05:55,2304.0,34.4,41.37,84.0,34.379999999999995,0.00999999999999801,1.1817
1900-01-01 16:05:57,2304.0,34.4,45.19,86.0,34.39,0.010000000000005116,1.2199
1900-01-01 16:05:59,2304.0,34.4,18.75,88.0,34.4,0.00999999999999801,0.9555
1900-01-01 16:06:02,1900.8,34.4,39.22,91.0,34.4,0.0,1.0257999999999998
1900-01-01 16:06:04,1900.8,34.4,47.63,93.0,34.4,0.0,1.1098999999999999
1900-01-01 16:06:06,1900.8,34.4,47.26,95.0,34.4,0.0,1.1061999999999999
1900-01-01 16:06:08,1900.8,35.0,17.4,97.0,34.459999999999994,0.05999999999999517,0.8075999999999999
1900-01-01 16:06:11,1900.8,35.0,46.96,100.0,34.519999999999996,0.060000000000002274,1.1032
1900-01-01 16:06:13,1900.8,35.0,31.84,102.0,34.58,0.060000000000002274,0.952
1900-01-01 16:06:16,1900.8,35.0,10.93,105.0,34.64,0.060000000000002274,0.7428999999999999
1900-01-01 16:06:18,1900.8,35.0,8.05,107.0,34.7,0.060000000000002274,0.7141
1900-01-01 16:06:20,2918.4,35.0,18.37,109.0,34.76,0.05999999999999517,1.1565
1900-01-01 16:06:23,2918.4,35.0,20.63,112.0,34.82,0.060000000000002274,1.1791
1900-01-01 16:06:25,2918.4,35.0,13.36,114.0,34.88,0.060000000000002274,1.1064
1900-01-01 16:06:27,2918.4,35.0,22.47,116.0,34.94,0.05999999999999517,1.1975
1900-01-01 16:06:30,2918.4,35.0,40.68,119.0,35.0,0.060000000000002274,1.3796
1900-01-01 16:06:32,2918.4,35.0,15.4,121.0,35.0,0.0,1.1268
1900-01-01 16:06:35,2918.4,35.0,17.6,124.0,35.0,0.0,1.1488
1900-01-01 16:06:37,2918.4,35.0,23.23,126.0,35.0,0.0,1.2051
1900-01-01 16:06:40,2918.4,35.0,14.01,129.0,35.0,0.0,1.1129
1900-01-01 16:06:42,2918.4,35.0,18.51,131.0,35.0,0.0,1.1579
1900-01-01 16:06:45,2918.4,35.0,16.74,134.0,35.0,0.0,1.1402
1900-01-01 16:06:47,2918.4,35.0,16.78,136.0,35.0,0.0,1.1406
1900-01-01 16:06:50,2918.4,35.0,16.61,139.0,35.0,0.0,1.1389
1900-01-01 16:06:52,2918.4,35.0,17.48,141.0,35.0,0.0,1.1476
1900-01-01 16:06:55,2918.4,35.0,18.12,144.0,35.0,0.0,1.154
1900-01-01 16:06:57,2918.4,35.0,45.26,146.0,35.0,0.0,1.4254
1900-01-01 16:07:00,2150.4,36.2,14.24,149.0,35.12,0.11999999999999744,0.8592
1900-01-01 16:07:02,2803.2,36.2,17.36,151.0,35.24,0.12000000000000455,1.1079999999999999
1900-01-01 16:07:04,1766.4,36.2,23.76,153.0,35.36,0.11999999999999744,0.8264
1900-01-01 16:07:07,1651.2,36.2,45.35,156.0,35.480000000000004,0.12000000000000455,1.0039
1900-01-01 16:07:09,1900.8,36.2,44.06,158.0,35.6,0.11999999999999744,1.0742
1900-01-01 16:07:11,1900.8,36.4,24.03,160.0,35.74,0.14000000000000057,0.8738999999999999
1900-01-01 16:07:14,1900.8,36.4,38.82,163.0,35.88,0.14000000000000057,1.0217999999999998
1900-01-01 16:11:05,633.6,34.9,8.08,394.0,35.870000000000005,-0.00999999999999801,0.292
1900-01-01 16:11:07,633.6,34.9,0.0,396.0,35.86,-0.010000000000005116,0.2112
1900-01-01 16:11:10,633.6,34.9,0.0,399.0,35.85,-0.00999999999999801,0.2112
1900-01-01 16:11:12,633.6,34.9,0.0,401.0,35.720000000000006,-0.12999999999999545,0.2112
1900-01-01 16:11:14,633.6,34.9,0.0,403.0,35.589999999999996,-0.13000000000000966,0.2112
1900-01-01 16:11:17,633.6,34.9,0.0,406.0,35.459999999999994,-0.13000000000000256,0.2112
1900-01-01 16:11:50,633.6,34.9,0.0,439.0,35.33,-0.12999999999999545,0.2112
1900-01-01 16:11:52,633.6,34.9,0.0,441.0,35.2,-0.12999999999999545,0.2112
1900-01-01 16:11:54,633.6,34.9,0.0,443.0,35.05,-0.15000000000000568,0.2112
1900-01-01 16:13:08,633.6,33.9,0.0,517.0,34.8,-0.25,0.2112
1900-01-01 16:13:11,633.6,33.9,0.0,520.0,34.7,-0.09999999999999432,0.2112
1900-01-01 16:13:28,633.6,33.9,0.0,537.0,34.6,-0.10000000000000142,0.2112
1900-01-01 16:13:30,633.6,33.9,0.0,539.0,34.5,-0.10000000000000142,0.2112
1900-01-01 16:13:32,633.6,33.9,0.0,541.0,34.39999999999999,-0.10000000000000853,0.2112
